Problem,Vertices,Edges,Construction(Grasp),Construction(Local Search),Local Search Iteration,Local Search Best,Grasp Iteration,Grasp Best
G1,800,19176,Greedy3,Greedy2,158,11427,50,11491
G2,800,19176,Greedy3,Greedy3,72,11412,50,11499
G3,800,19176,Semi-Greedy,Greedy2,168,11430,50,11500
G4,800,19176,Greedy3,Greedy3,72,11420,50,11507
G5,800,19176,Randomised2,Greedy3,73,11421,50,11484
G6,800,19176,Semi-Greedy,Greedy3,87,1945,50,2035
G7,800,19176,Semi-Greedy,Greedy3,92,1777,50,1863
G8,800,19176,Randomised4,Randomised,623,1789,50,1910
G9,800,19176,Greedy3,Greedy3,89,1823,50,1926
G10,800,19176,Greedy3,Randomised,597,1779,50,1871
G11,800,1600,Greedy3,Greedy3,5,491,50,508
G12,800,1600,Greedy3,Greedy3,6,480,50,498
G13,800,1600,Greedy3,Greedy3,5,505,50,522
G14,800,4694,Greedy3,Greedy3,20,2973,50,2999
G15,800,4661,Greedy3,Greedy3,23,2950,50,2980
G16,800,4672,Greedy3,Greedy3,21,2954,50,2975
G17,800,4667,Semi-Greedy,Greedy,63,2953,50,2971
G18,800,4694,Greedy3,Greedy,62,887,50,924
G19,800,4661,Greedy3,Greedy3,32,792,50,823
G20,800,4672,Semi-Greedy,Greedy3,30,828,50,871
G21,800,4667,Greedy3,Greedy3,30,815,50,860
G22,2000,19990,Greedy3,Greedy3,94,12950,50,13033
G23,2000,19990,Greedy3,Greedy3,96,12957,50,13054
G24,2000,19990,Greedy3,Greedy3,94,12961,50,13031
G25,2000,19990,Greedy3,Greedy3,92,12960,50,13041
G26,2000,19990,Greedy3,Greedy3,96,12954,50,13012
G27,2000,19990,Greedy3,Greedy3,133,2907,50,3002
G28,2000,19990,Greedy3,Greedy3,129,2871,50,2953
G29,2000,19990,Greedy3,Greedy3,131,2964,50,3085
G30,2000,19990,Greedy3,Greedy3,132,2973,50,3097
G31,2000,19990,Greedy3,Greedy3,130,2899,50,2976
G32,2000,4000,Greedy3,Greedy3,12,1216,50,1246
G33,2000,4000,Greedy3,Greedy3,11,1206,50,1238
G34,2000,4000,Greedy3,Greedy3,13,1200,50,1228
G35,2000,11778,Greedy3,Greedy3,51,7447,50,7475
G36,2000,11766,Greedy3,Greedy3,53,7438,50,7474
G37,2000,11785,Greedy3,Greedy3,52,7446,50,7477
G38,2000,11779,Greedy3,Greedy3,55,7447,50,7492
G39,2000,11778,Greedy3,Greedy,134,2139,50,2181
G40,2000,11766,Greedy3,Greedy3,75,2121,50,2173
G41,2000,11785,Greedy3,Greedy3,71,2122,50,2185
G42,2000,11779,Greedy3,Greedy3,71,2197,50,2247
G43,1000,9990,Greedy3,Greedy3,50,6456,50,6504
G44,1000,9990,Greedy3,Greedy3,47,6463,50,6506
G45,1000,9990,Greedy3,Greedy3,46,6458,50,6524
G46,1000,9990,Greedy3,Greedy3,51,6469,50,6509
G47,1000,9990,Greedy3,Greedy3,49,6472,50,6525
G48,3000,6000,Greedy,Greedy,1,6000,50,6000
G49,3000,6000,Greedy,Greedy,1,6000,50,6000
G50,3000,6000,Greedy2,Greedy2,1,5880,50,5880
G51,1000,5909,Greedy3,Greedy3,26,3729,50,3753
G52,1000,5916,Greedy3,Greedy3,28,3736,50,3771
G53,1000,5914,Greedy3,Greedy3,26,3733,50,3755
G54,1000,5916,Greedy3,Greedy3,26,3730,50,3755
