Problem,Vertices,Edges,Greedy,Greedy2,Greedy3,Semi-Greedy,Randomised,Randomised2,Randomised3,Randomised4
G1,800,19176,10944,11068,11312,11140,844,9628,9609,11040
G2,800,19176,11030,10991,11223,11119,778,9577,9600,11045
G3,800,19176,10951,11080,11329,11138,1004,9582,9612,11031
G4,800,19176,11048,10999,11350,11140,544,9552,9594,11035
G5,800,19176,11041,11012,11314,11131,972,9598,9593,11029
G6,800,19176,1470,1587,1775,1615,-26,91,57,1566
G7,800,19176,1343,1326,1613,1459,-36,-72,-106,1394
G8,800,19176,1363,1381,1583,1470,-14,-61,-127,1409
G9,800,19176,1421,1404,1680,1514,-46,-42,-48,1425
G10,800,19176,1362,1448,1556,1431,2,-79,-75,1352
G11,800,1600,434,450,494,443,0,21,-15,408
G12,800,1600,422,420,482,424,1,-3,-43,396
G13,800,1600,418,440,492,447,-1,16,-19,418
G14,800,4694,2897,2853,2932,2924,120,2343,2375,2866
G15,800,4661,2880,2868,2925,2906,123,2313,2341,2851
G16,800,4672,2881,2853,2926,2913,127,2344,2370,2849
G17,800,4667,2853,2866,2907,2905,139,2334,2326,2858
G18,800,4694,788,745,823,759,-5,44,0,710
G19,800,4661,681,594,726,671,4,-76,-87,615
G20,800,4672,736,682,811,724,7,-2,-43,654
G21,800,4667,711,685,777,698,-16,-19,-52,628
G22,2000,19990,12341,12343,12777,12583,1671,10014,10056,12351
G23,2000,19990,12332,12332,12775,12605,2076,9999,10042,12346
G24,2000,19990,12318,12445,12747,12559,1983,9994,10049,12339
G25,2000,19990,12393,12443,12852,12589,1675,9978,10080,12341
G26,2000,19990,12325,12434,12756,12571,1915,9997,10046,12354
G27,2000,19990,2316,2339,2723,2440,-61,3,-145,2319
G28,2000,19990,2300,2326,2601,2388,-19,-22,-123,2273
G29,2000,19990,2365,2431,2766,2504,-49,19,-40,2404
G30,2000,19990,2423,2505,2763,2524,-35,49,-56,2382
G31,2000,19990,2365,2289,2664,2437,-64,-13,-121,2297
G32,2000,4000,1020,1054,1206,1069,1,24,-77,999
G33,2000,4000,1008,1052,1192,1056,0,-25,-95,975
G34,2000,4000,986,1016,1188,1042,-4,-22,-111,981
G35,2000,11778,7242,7206,7398,7334,109,5899,5930,7191
G36,2000,11766,7222,7151,7364,7328,123,5868,5935,7172
G37,2000,11785,7259,7187,7333,7343,173,5912,5952,7199
G38,2000,11779,7217,7189,7393,7342,87,5892,5954,7189
G39,2000,11778,1925,1782,1979,1842,4,-1,-34,1680
G40,2000,11766,1854,1776,2013,1813,29,-48,-127,1648
G41,2000,11785,1841,1701,1982,1857,15,-12,-82,1664
G42,2000,11779,1964,1739,2081,1912,-4,24,9,1747
G43,1000,9990,6188,6216,6409,6286,962,4999,5006,6178
G44,1000,9990,6136,6195,6394,6294,957,5004,5023,6159
G45,1000,9990,6177,6190,6381,6290,872,4993,5001,6166
G46,1000,9990,6134,6201,6389,6274,912,5019,5022,6160
G47,1000,9990,6144,6206,6386,6304,862,4992,4995,6187
G48,3000,6000,6000,6000,6000,6000,8,3005,3001,4878
G49,3000,6000,6000,6000,6000,6000,8,3009,2995,4921
G50,3000,6000,5854,5880,5880,5840,8,2989,2997,4909
G51,1000,5909,3650,3603,3712,3682,186,2945,2981,3591
G52,1000,5916,3636,3601,3687,3679,157,2954,2970,3604
G53,1000,5914,3647,3627,3681,3681,163,2956,2992,3602
G54,1000,5916,3637,3614,3691,3672,165,2938,2964,3606
