Problem	Vertices	Edges	Construction	Local Search Iteration	Local Search Best	Grasp Iteration		Grasp Best
G1			800		19176		Greedy			217.172					11499					100					11384
G1			800		19176		Greedy2			159.596					11542.4					100					11427
G1			800		19176		Semi-Greedy		121.495					11488.2					100					11452
G1			800		19176		Randomised		944.99					11473.9					100					11392
G1			800		19176		Randomised2		629.889					11489					100					11446
G1			800		19176		Randomised3		634					11483.4					100					11465
G2			800		19176		Greedy			133.333					11455.6					100					11341
G2			800		19176		Greedy2			182.828					11468.7					100					11354
G2			800		19176		Semi-Greedy		121.899					11492.9					100					11459
G2			800		19176		Randomised		874.091					11447.9					100					11431
G2			800		19176		Randomised2		634.364					11493					100					11473
G2			800		19176		Randomised3		625.313					11481					100					11465
G3			800		19176		Greedy			164.646					11481.8					100					11367
G3			800		19176		Greedy2			169.697					11545.5					100					11430
G3			800		19176		Semi-Greedy		122.343					11490.9					100					11451
G3			800		19176		Randomised		959.343					11456.4					100					11405
G3			800		19176		Randomised2		632.949					11482.5					100					11445
G3			800		19176		Randomised3		623.929					11482					100					11457
G4			800		19176		Greedy			165.657					11511.1					100					11396
G4			800		19176		Greedy2			195.96					11492.9					100					11378
G4			800		19176		Semi-Greedy		127.253					11501.7					100					11479
G4			800		19176		Randomised		926.434					11485.8					100					11444
G4			800		19176		Randomised2		625.788					11493.8					100					11466
G4			800		19176		Randomised3		632.949					11495.1					100					11470
G5			800		19176		Greedy			132.323					11458.6					100					11344
G5			800		19176		Greedy2			156.566					11471.7					100					11357
G5			800		19176		Semi-Greedy		123.414					11495.2					100					11464
G5			800		19176		Randomised		880.374					11432.4					100					11412
G5			800		19176		Randomised2		631.444					11495					100					11449
G5			800		19176		Randomised3		626.535					11492.9					100					11509
G6			800		19176		Greedy			174.747					1928.28					100					1909
G6			800		19176		Greedy2			173.737					1963.64					100					1944
G6			800		19176		Semi-Greedy		145.121					1931.03					100					2018
